FID,AsRecordedID,SpeciesID,Species_name
SpeciesList.241,241,241,Haliotis rubra
SpeciesList.242,242,242,Pleuroploca australasia
SpeciesList.243,243,243,Turbo undulatus
SpeciesList.244,244,244,Penion mandarinus
SpeciesList.247,247,247,Cabestana tabulata
SpeciesList.250,250,250,Dicathais orbita
SpeciesList.251,251,251,Sepia apama
SpeciesList.252,252,252,Haliotis scalaris
SpeciesList.253,253,253,Ranella australasia
SpeciesList.255,255,255,Sassia subdistorta
SpeciesList.257,257,257,Cabestana spengleri
SpeciesList.260,260,260,Equichlamys bifrons
SpeciesList.261,261,261,Sepioteuthis australis
SpeciesList.263,263,263,Turbo torquatus
SpeciesList.265,265,265,Chicoreus denudatus
SpeciesList.266,266,266,Scutus antipodes
SpeciesList.267,267,267,Octopus tetricus
SpeciesList.268,268,268,Agnewia tritoniformis
SpeciesList.270,270,270,Jasus edwardsii
SpeciesList.272,272,272,Plagusia chabrus
SpeciesList.277,277,277,Jasus verreauxi
SpeciesList.279,279,279,Cymbiola magnifica
SpeciesList.283,283,283,Ostrea angasi
SpeciesList.466,466,466,Thyrsites atun
SpeciesList.473,473,473,Cochleoceps bicolor
SpeciesList.477,477,477,Astroboa ernae
SpeciesList.478,478,478,Petrocheles australiensis
SpeciesList.481,481,481,Urolophus sufflavus
SpeciesList.482,482,482,Aspidontus taeniatus
SpeciesList.483,483,483,Sillaginodes punctatus
SpeciesList.489,489,489,Foetorepus calauropomus
SpeciesList.491,491,491,Phasianotrochus eximius
SpeciesList.492,492,492,Cristiceps argyropleura
SpeciesList.493,493,493,Centropyge bicolor
SpeciesList.497,497,497,Ceratosoma brevicaudatum
SpeciesList.498,498,498,Pterynotus triformis
SpeciesList.519,519,519,Spondylus tenellus
SpeciesList.543,543,543,Chrysiptera flavipinnis
SpeciesList.549,549,549,Aldrichetta forsteri
SpeciesList.550,550,550,Centrostephanus tenuispinus
SpeciesList.551,551,551,Campanile symbolicum
SpeciesList.552,552,552,Nectria multispina
SpeciesList.553,553,553,Pinna bicolor
SpeciesList.555,555,555,Holothuria hartmeyeri
SpeciesList.557,557,557,Phyllacanthus irregularis
SpeciesList.559,559,559,Nectria wilsoni
SpeciesList.560,560,560,Nectria saoria
SpeciesList.562,562,562,Echinaster varicolor
SpeciesList.564,564,564,Haliotis roei
SpeciesList.565,565,565,Anthaster valvulatus
SpeciesList.566,566,566,Aplysia gigantea
SpeciesList.567,567,567,Echinaster glomeratus
SpeciesList.571,571,571,Phasianella australis
SpeciesList.572,572,572,Paguristes frontalis
SpeciesList.577,577,577,Sphyraena obtusata
SpeciesList.578,578,578,Chromis westaustralis
SpeciesList.579,579,579,Petroscirtes lupus
SpeciesList.580,580,580,Torquigener squamicauda
SpeciesList.581,581,581,Chromis flavomaculata
SpeciesList.583,583,583,Leptomithrax gaimardii
SpeciesList.585,585,585,Fusinus noveahollandiae
SpeciesList.589,589,589,Umbraculum umbraculum
SpeciesList.600,600,600,Clanculus undatus
SpeciesList.635,635,635,Brachaelurus waddi
SpeciesList.636,636,636,Asterias amurensis
SpeciesList.646,646,646,Acanthurus nigrofuscus
SpeciesList.647,647,647,Cirrhitichthys aprinus
SpeciesList.648,648,648,Macropharyngodon negrosensis
SpeciesList.649,649,649,Suezichthys arquatus
SpeciesList.650,650,650,Chaetodon auriga
SpeciesList.651,651,651,Chromis nitida
SpeciesList.653,653,653,Amblypneustes leucoglobus
SpeciesList.654,654,654,Seriola hippos
SpeciesList.655,655,655,Parupeneus chrysopleuron
SpeciesList.656,656,656,Anampses caeruleopunctatus
SpeciesList.657,657,657,Stethojulis interrupta
SpeciesList.658,658,658,Parapercis ramsayi
SpeciesList.659,659,659,Synodus jaculum
SpeciesList.660,660,660,Pseudocoris yamashiroi
SpeciesList.664,664,664,Canthigaster valentini
SpeciesList.665,665,665,Tripneustes gratilla
SpeciesList.666,666,666,Strombus luhuanus
SpeciesList.667,667,667,Carangoides orthogrammus
SpeciesList.668,668,668,Istigobius hoesei
SpeciesList.670,670,670,Sagaminopteron ornatum
SpeciesList.673,673,673,Fusinus australis
SpeciesList.676,676,676,Acanthaluteres brownii
SpeciesList.691,691,691,Comatula purpurea
SpeciesList.693,693,693,Naxia aurita
SpeciesList.695,695,695,Orectolobus ornatus
SpeciesList.696,696,696,Chromodoris westraliensis
SpeciesList.699,699,699,Stichopus ludwigi
SpeciesList.723,723,723,Astralium squamiferum
SpeciesList.725,725,725,Conus anemone
SpeciesList.727,727,727,Mitra glabra
SpeciesList.729,729,729,Phasianella ventricosa
SpeciesList.730,730,730,Asterodiscides truncatus
SpeciesList.762,762,762,Melo miltonis
SpeciesList.778,778,778,Heraldia nocturna
SpeciesList.779,779,779,Parupeneus pleurostigma
SpeciesList.780,780,780,Squatina australis
SpeciesList.781,781,781,Leptojulis cyanopleura
SpeciesList.782,782,782,Panulirus cygnus
SpeciesList.783,783,783,Cheilodactylus vestitus
SpeciesList.785,785,785,Notolabrus inscriptus
SpeciesList.897,897,897,Ptereleotris evides
SpeciesList.898,898,898,Parachaetodon ocellatus
SpeciesList.899,899,899,Chaetodon kleinii
SpeciesList.900,900,900,Aploactisoma milesii
SpeciesList.901,901,901,Trachichthys australis
SpeciesList.902,902,902,Eubalichthys bucephalus
SpeciesList.903,903,903,Cristiceps aurantiacus
SpeciesList.905,905,905,Paracaesio xanthura
SpeciesList.906,906,906,Eubalichthys mosaicus
SpeciesList.907,907,907,Myxus elongatus
SpeciesList.908,908,908,Anoplocapros inermis
SpeciesList.910,910,910,Synodus variegatus
SpeciesList.911,911,911,Pempheris affinis
SpeciesList.912,912,912,Paraplesiops bleekeri
SpeciesList.913,913,913,Microcanthus strigatus
SpeciesList.914,914,914,Hypoplectrodes annulatus
SpeciesList.915,915,915,Ostracion cubicus
SpeciesList.916,916,916,Austrolabrus maculatus
SpeciesList.917,917,917,Zanclus cornutus
SpeciesList.918,918,918,Pseudolabrus luculentus
SpeciesList.920,920,920,Glyptauchen panduratus
SpeciesList.923,923,923,Labroides dimidiatus
SpeciesList.928,928,928,Pterocaesio digramma
SpeciesList.929,929,929,Maxillicosta scabriceps
SpeciesList.930,930,930,Othos dentex
SpeciesList.931,931,931,Trachinops noarlungae
SpeciesList.932,932,932,Trachinops brauni
SpeciesList.933,933,933,Pelsartia humeralis
SpeciesList.934,934,934,Monodactylus argenteus
SpeciesList.935,935,935,Pempheris klunzingeri
SpeciesList.936,936,936,Dotalabrus alleni
SpeciesList.937,937,937,Neatypus obliquus
SpeciesList.938,938,938,Tilodon sexfasciatus
SpeciesList.939,939,939,Parma mccullochi
SpeciesList.940,940,940,Chromis klunzingeri
SpeciesList.941,941,941,Nemadactylus valenciennesi
SpeciesList.942,942,942,Coris auricularis
SpeciesList.944,944,944,Pseudolabrus biserialis
SpeciesList.946,946,946,Monacanthus chinensis
SpeciesList.947,947,947,Meuschenia galii
SpeciesList.950,950,950,Omegophora cyanopunctata
SpeciesList.951,951,951,Girella tephraeops
SpeciesList.952,952,952,Cheilodactylus rubrolabiatus
SpeciesList.954,954,954,Anoplocapros lenticularis
SpeciesList.955,955,955,Aplodactylus westralis
SpeciesList.956,956,956,Siphonognathus radiatus
SpeciesList.957,957,957,Chelmonops curiosus
SpeciesList.958,958,958,Schuettea woodwardi
SpeciesList.960,960,960,Chironemus georgianus
SpeciesList.961,961,961,Pictilabrus viridis
SpeciesList.962,962,962,Paraplesiops meleagris
SpeciesList.963,963,963,Epinephelides armatus
SpeciesList.964,964,964,Sillago schomburgkii
SpeciesList.965,965,965,Trygonoptera ovalis
SpeciesList.967,967,967,Centroberyx lineatus
SpeciesList.968,968,968,Seriola lalandi
SpeciesList.969,969,969,Anoplocapros amygdaloides
SpeciesList.970,970,970,Caesioscorpis theagenes
SpeciesList.972,972,972,Pomatomus saltatrix
SpeciesList.973,973,973,Callanthias australis
SpeciesList.974,974,974,Notolabrus parilus
SpeciesList.976,976,976,Plectorhinchus flavomaculatus
SpeciesList.977,977,977,Torquigener pleurogramma
SpeciesList.979,979,979,Scorpis georgiana
SpeciesList.980,980,980,Parma occidentalis
SpeciesList.981,981,981,Apogon victoriae
SpeciesList.983,983,983,Kyphosus cornelii
SpeciesList.986,986,986,Neophoca cinerea
SpeciesList.989,989,989,Leviprora inops
SpeciesList.991,991,991,Platycephalus speculator
SpeciesList.1006,1006,1006,Aphelodoris greeni
SpeciesList.1009,1009,1009,Thalassoma lunare
SpeciesList.1010,1010,1010,Thalassoma lutescens
SpeciesList.1011,1011,1011,Glaucosoma hebraicum
SpeciesList.1012,1012,1012,Anampses geographicus
SpeciesList.1014,1014,1014,Suezichthys cyanolaemus
SpeciesList.1016,1016,1016,Chaetodon assarius
SpeciesList.1018,1018,1018,Choerodon rubescens
SpeciesList.1020,1020,1020,Pterois volitans
SpeciesList.1021,1021,1021,Stegastes obreptus
SpeciesList.1022,1022,1022,Pomacentrus milleri
SpeciesList.1029,1029,1029,Nectocarcinus integrifrons
SpeciesList.1038,1038,1038,Abudefduf vaigiensis
SpeciesList.1039,1039,1039,Arothron hispidus
SpeciesList.1040,1040,1040,Aspidontus dussumieri
SpeciesList.1041,1041,1041,Chaetodon flavirostris
SpeciesList.1042,1042,1042,Cleidopus gloriamaris
SpeciesList.1043,1043,1043,Nesogobius pulchellus
SpeciesList.1044,1044,1044,Parma polylepis
SpeciesList.1045,1045,1045,Pseudojuloides elongatus
SpeciesList.1046,1046,1046,Ptereleotris microlepis
SpeciesList.1047,1047,1047,Scarus chameleon
SpeciesList.1048,1048,1048,Suezichthys aylingi
SpeciesList.1050,1050,1050,Anampses femininus
SpeciesList.1051,1051,1051,Lactoria cornuta
SpeciesList.1052,1052,1052,Amphichaetodon howensis
SpeciesList.1059,1059,1059,Carcinus maenas
SpeciesList.1061,1061,1061,Arctocephalus pusillus
SpeciesList.1070,1070,1070,Decapoda spp.
SpeciesList.1072,1072,1072,Cominella lineolata
SpeciesList.1077,1077,1077,Lomis hirta
SpeciesList.1079,1079,1079,Leptatherina presbyteroides
SpeciesList.1081,1081,1081,Chelonia mydas
SpeciesList.1082,1082,1082,Sarda australis
SpeciesList.1083,1083,1083,Maoricolpus roseus
SpeciesList.1093,1093,1093,Petroscirtes fallax
SpeciesList.1095,1095,1095,Thalassoma hardwicke
SpeciesList.1096,1096,1096,Ptereleotris heteroptera
SpeciesList.1115,1115,1115,Angaria tyria
SpeciesList.1117,1117,1117,Acanthistius pardalotus
SpeciesList.1118,1118,1118,Conger wilsoni
SpeciesList.1119,1119,1119,Helcogramma decurrens
SpeciesList.1120,1120,1120,Phycodurus eques
SpeciesList.1121,1121,1121,Favonigobius lateralis
SpeciesList.1125,1125,1125,Heniochus acuminatus
SpeciesList.1131,1131,1131,Cronia avellana
SpeciesList.1132,1132,1132,Astralium stellare
SpeciesList.1135,1135,1135,Granata imbricata
SpeciesList.1139,1139,1139,Sassia sexcostata
SpeciesList.1144,1144,1144,Amblypneustes pallidus
SpeciesList.1146,1146,1146,Parapercis haackei
SpeciesList.1147,1147,1147,Phasianotrochus rutilus
SpeciesList.1151,1151,1151,Astralium aureum
SpeciesList.1153,1153,1153,Antedon loveni
SpeciesList.1154,1154,1154,Aphelodoris varia
SpeciesList.1157,1157,1157,Tambja verconis
SpeciesList.1174,1174,1174,Pempheris ornata
SpeciesList.1179,1179,1179,Mexichromis macropus
SpeciesList.1184,1184,1184,Haliotis cyclobates
SpeciesList.1205,1205,1205,Fistularia commersonii
SpeciesList.1206,1206,1206,Stethojulis strigiventer
SpeciesList.1207,1207,1207,Ptereleotris monoptera
SpeciesList.1208,1208,1208,Mugil cephalus
SpeciesList.1210,1210,1210,Aplysia dactylomela
SpeciesList.1213,1213,1213,Chromis weberi
SpeciesList.1214,1214,1214,Cirripectes hutchinsi
SpeciesList.1220,1220,1220,Holopneustes spp.
SpeciesList.1228,1228,1228,Pelates octolineatus
SpeciesList.1257,1257,1257,Heteroclinus kuiteri
SpeciesList.1264,1264,1264,Digidentis perplexa
SpeciesList.1265,1265,1265,Hypselodoris bennetti
SpeciesList.1266,1266,1266,Brachynectes fasciatus
SpeciesList.1269,1269,1269,Stethojulis trilineata
SpeciesList.1270,1270,1270,Pomacentrus chrysurus
SpeciesList.1271,1271,1271,Caesio caerulaurea
SpeciesList.1272,1272,1272,Abudefduf sexfasciatus
SpeciesList.1274,1274,1274,Stegastes gascoynei
SpeciesList.1275,1275,1275,Aulostomus chinensis
SpeciesList.1283,1283,1283,Cellana tramoserica
SpeciesList.1285,1285,1285,Urolophus kapalensis
SpeciesList.1287,1287,1287,Halichoeres margaritaceus
SpeciesList.1309,1309,1309,Pomacentrus australis
SpeciesList.1310,1310,1310,Cronia aurantiaca
SpeciesList.1311,1311,1311,Mitra carbonaria
SpeciesList.1312,1312,1312,Ophidiaster confertus
SpeciesList.1314,1314,1314,Austrodromidia octodentata
SpeciesList.1316,1316,1316,Centroberyx gerrardi
SpeciesList.1322,1322,1322,Cassis fimbriata
SpeciesList.1327,1327,1327,Hapalochlaena maculosa
SpeciesList.1331,1331,1331,Schizophrys aspera
SpeciesList.1333,1333,1333,Zoila friendii
SpeciesList.1340,1340,1340,Smilasterias irregularis
SpeciesList.1345,1345,1345,Portunus pelagicus
SpeciesList.1349,1349,1349,Paramonacanthus otisensis
SpeciesList.1356,1356,1356,Carcharodon carcharias
SpeciesList.1359,1359,1359,Decapterus muroadsi
SpeciesList.1363,1363,1363,Eubalichthys cyanoura
SpeciesList.1372,1372,1372,Gymnothorax woodwardi
SpeciesList.1373,1373,1373,Plotosus lineatus
SpeciesList.1374,1374,1374,Callioplana marginata
SpeciesList.1375,1375,1375,Eviota bimaculata
SpeciesList.1377,1377,1377,Acanthistius serratus
SpeciesList.1378,1378,1378,Stenopus hispidus
SpeciesList.1389,1389,1389,Cerithium echinatum
SpeciesList.1390,1390,1390,Novaculichthys taeniourus
SpeciesList.1397,1397,1397,Nepanthia crassa
SpeciesList.1409,1409,1409,Abalistes stellatus
SpeciesList.1410,1410,1410,Abudefduf bengalensis
SpeciesList.1411,1411,1411,Abudefduf sordidus
SpeciesList.1412,1412,1412,Acanthaster planci
SpeciesList.1413,1413,1413,Acanthistius cinctus
SpeciesList.1416,1416,1416,Acanthurus blochii
SpeciesList.1417,1417,1417,Acanthurus dussumieri
SpeciesList.1418,1418,1418,Acanthurus lineatus
SpeciesList.1419,1419,1419,Acanthurus mata
SpeciesList.1420,1420,1420,Acanthurus triostegus
SpeciesList.1422,1422,1422,Aetobatus narinari
SpeciesList.1424,1424,1424,Aluterus scriptus
SpeciesList.1425,1425,1425,Amblygobius phalaena
SpeciesList.1427,1427,1427,Amphiprion clarkii
SpeciesList.1429,1429,1429,Amphiprion ocellaris
SpeciesList.1430,1430,1430,Amphiprion sandaracinos
SpeciesList.1431,1431,1431,Anampses elegans
SpeciesList.1432,1432,1432,Anampses meleagrides
SpeciesList.1433,1433,1433,Anampses neoguinaicus
SpeciesList.1435,1435,1435,Aplodactylus etheridgii
SpeciesList.1436,1436,1436,Aplodactylus lophodon
SpeciesList.1438,1438,1438,Apogon doederleini
SpeciesList.1441,1441,1441,Apogon semiornatus
SpeciesList.1447,1447,1447,Arothron manilensis
SpeciesList.1448,1448,1448,Arothron stellatus
SpeciesList.1449,1449,1449,Arripis trutta
SpeciesList.1450,1450,1450,Arripis truttaceus
SpeciesList.1452,1452,1452,Asthenosoma intermedium
SpeciesList.1455,1455,1455,Asymbolus vincenti
SpeciesList.1457,1457,1457,Atule mate
SpeciesList.1458,1458,1458,Atypichthys latus
SpeciesList.1460,1460,1460,Aulohalaelurus labiosus
SpeciesList.1461,1461,1461,Austraeolis ornata
SpeciesList.1463,1463,1463,Balistapus undulatus
SpeciesList.1464,1464,1464,Balistoides viridescens
SpeciesList.1465,1465,1465,Bodianus axillaris
SpeciesList.1466,1466,1466,Bodianus bilunulatus
SpeciesList.1469,1469,1469,Bolbometopon muricatum
SpeciesList.1470,1470,1470,Calcinus spicatus
SpeciesList.1473,1473,1473,Canthigaster coronata
SpeciesList.1476,1476,1476,Caranx ignobilis
SpeciesList.1477,1477,1477,Caranx sexfasciatus
SpeciesList.1478,1478,1478,Carcharhinus galapagensis
SpeciesList.1480,1480,1480,Carcharhinus melanopterus
SpeciesList.1481,1481,1481,Carcharhinus obscurus
SpeciesList.1483,1483,1483,Cenolia glebosus
SpeciesList.1485,1485,1485,Centropyge tibicen
SpeciesList.1486,1486,1486,Cephalopholis argus
SpeciesList.1487,1487,1487,Cephalopholis miniata
SpeciesList.1488,1488,1488,Cephalopholis sonnerati
SpeciesList.1490,1490,1490,Cerithium nodulosum
SpeciesList.1491,1491,1491,Cetoscarus bicolor
SpeciesList.1492,1492,1492,Chaetodon aureofasciatus
SpeciesList.1493,1493,1493,Chaetodon citrinellus
SpeciesList.1494,1494,1494,Chaetodon ephippium
SpeciesList.1495,1495,1495,Chaetodon lineolatus
SpeciesList.1496,1496,1496,Chaetodon lunula
SpeciesList.1497,1497,1497,Chaetodon lunulatus
SpeciesList.1498,1498,1498,Chaetodon melannotus
SpeciesList.1499,1499,1499,Chaetodon mertensii
SpeciesList.1500,1500,1500,Chaetodon meyeri
SpeciesList.1502,1502,1502,Chaetodon pelewensis
SpeciesList.1503,1503,1503,Chaetodon plebeius
SpeciesList.1505,1505,1505,Chaetodon speculum
SpeciesList.1506,1506,1506,Chaetodon tricinctus
SpeciesList.1507,1507,1507,Chaetodon trifascialis
SpeciesList.1508,1508,1508,Chaetodon trifasciatus
SpeciesList.1509,1509,1509,Chaetodontoplus duboulayi
SpeciesList.1512,1512,1512,Cheilinus chlorourus
SpeciesList.1513,1513,1513,Cheilio inermis
SpeciesList.1514,1514,1514,Cheilodactylus ephippium
SpeciesList.1515,1515,1515,Cheilodactylus gibbosus
SpeciesList.1516,1516,1516,Cheilodactylus vittatus
SpeciesList.1518,1518,1518,Cheilodipterus quinquelineatus
SpeciesList.1519,1519,1519,Chelmon marginalis
SpeciesList.1520,1520,1520,Chlorurus sordidus
SpeciesList.1521,1521,1521,Choerodon cyanodus
SpeciesList.1522,1522,1522,Choerodon fasciatus
SpeciesList.1523,1523,1523,Choerodon jordani
SpeciesList.1525,1525,1525,Chromileptes altivelis
SpeciesList.1526,1526,1526,Chromis atripectoralis
SpeciesList.1527,1527,1527,Chromis cyanea
SpeciesList.1528,1528,1528,Chromis viridis
SpeciesList.1531,1531,1531,Chrysiptera notialis
SpeciesList.1533,1533,1533,Cirrhilabrus temminckii
SpeciesList.1534,1534,1534,Cirrhitichthys oxycephalus
SpeciesList.1536,1536,1536,Cirripectes alboapicalis
SpeciesList.1537,1537,1537,Cirripectes chelomatus
SpeciesList.1539,1539,1539,Cochleoceps orientalis
SpeciesList.1541,1541,1541,Comanthus wahlbergi
SpeciesList.1542,1542,1542,Coradion chrysozonus
SpeciesList.1543,1543,1543,Coriocella nigra
SpeciesList.1544,1544,1544,Coris aygula
SpeciesList.1545,1545,1545,Coris bulbifrons
SpeciesList.1546,1546,1546,Coris gaimard
