SurveyID,SurveyDate
2001030,2010-04-25
2001031,2009-07-26
2001032,2009-07-26
2001033,2010-01-23
2001034,2009-12-19
2001035,2009-12-19
2001036,2009-12-19
2001037,2010-04-11
2001038,2009-08-01
2001039,2009-08-01
2001040,2009-08-01
2001041,2009-05-08
2001042,2009-05-08
2001043,2009-05-08
2001044,2009-05-08
2001045,2009-05-08
2001046,2009-03-27
2001047,2009-03-27
2001048,2009-03-27
2001049,2008-06-06
2001050,2008-06-06
2001051,2008-06-06
2001052,2008-06-06
2001053,2008-06-06
2001054,2009-03-15
2001055,2009-08-21
2001056,2009-08-21
2001057,2009-08-21
2001058,2009-07-19
2001059,2009-08-25
2001060,2010-03-13
2001061,2010-06-20
2001062,2009-12-21
2001063,2009-12-21
2001064,2009-12-20
2001065,2009-12-20
2001066,2009-12-20
2001067,2009-12-20
2001068,2009-04-09
2001069,2009-04-09
2001070,2009-04-09
2001071,2009-04-09
2001072,2009-12-20
2001073,2009-12-20
2001074,2009-12-20
2001075,2009-12-20
2001076,2009-12-20
2001077,2009-12-20
2001078,2009-12-20
2001079,2009-12-20
2001080,2008-05-06
2001081,2008-05-06
2001082,2010-01-28
2001083,2010-01-28
2001084,2010-01-28
2001085,2010-01-28
2001086,2008-05-16
2001087,2008-05-16
2001088,2010-01-28
2001089,2010-01-28
2001090,2010-01-31
2001091,2010-01-31
2001092,2008-05-19
2001093,2008-05-19
2001094,2010-01-31
2001095,2010-01-31
2001096,2010-01-31
2001097,2010-01-31
2001098,2009-09-12
2001099,2009-07-31
2001100,2009-07-31
2001101,2009-07-31
2001102,2009-07-31
2001103,2008-02-14
2001104,2008-05-12
2001105,2008-09-17
2001106,2009-12-27
2001107,2009-12-29
2001108,2009-05-12
2001109,2009-05-14
2001110,2009-05-14
2001111,2009-06-27
2001112,2009-03-13
2001113,2009-03-13
2001114,2009-03-13
2001115,2009-03-13
2001116,2010-04-25
2001117,2009-12-25
2001118,2010-04-18
2001119,2010-04-18
2001120,2010-04-18
2001121,2010-04-18
2001122,2010-04-18
2001123,2010-04-23
2001124,2009-05-08
2001125,2009-05-08
2001126,2009-05-08
2001127,2009-05-08
2001128,2009-05-08
2001129,2009-10-18
2001130,2009-03-27
2001131,2009-03-27
2001132,2009-03-27
2001133,2008-06-06
2001134,2008-06-06
2001135,2008-06-06
2001136,2008-06-06
2001137,2008-06-06
2001138,2009-08-21
2001139,2009-08-21
2001140,2009-08-21
2001141,2010-01-31
2001142,2010-01-31
2001143,2008-06-07
2001144,2008-06-07
2001145,2010-01-31
2001146,2010-01-31
2001147,2008-06-11
2001148,2009-01-17
2001149,2009-06-09
2001150,2009-06-09
2001151,2009-06-09
2001152,2009-06-09
2001153,2010-01-15
2001154,2010-01-15
2001155,2010-01-15
2001156,2010-01-15
2001157,2008-06-13
2001158,2010-01-11
2001159,2010-01-11
2001160,2010-01-11
2001161,2010-01-11
2001162,2008-06-27
2001163,2008-09-02
2001164,2008-09-02
2001165,2009-07-31
2001166,2009-05-14
2001167,2009-05-14
2001168,2009-03-14
2001169,2009-03-14
2001170,2009-03-14
2001171,2009-03-14
2001172,2010-01-16
2001173,2010-05-01
2001174,2009-05-09
2001175,2009-05-09
2001176,2009-05-09
2001177,2009-05-09
2001178,2009-11-21
2001179,2009-11-21
2001180,2010-04-24
2001181,2009-03-28
2001182,2009-03-28
2001183,2009-03-28
2001184,2009-08-22
2001185,2009-08-22
2001186,2008-09-02
2001187,2008-09-02
2001188,2008-09-16
2001189,2008-09-16
2001190,2008-09-16
2001191,2008-09-16
2001192,2008-11-17
2001193,2008-11-17
2001194,2008-05-24
2001195,2008-11-17
2001196,2008-11-17
2001197,2008-11-18
2001198,2008-11-18
2001199,2008-11-18
2001200,2008-11-18
2001201,2008-02-21
2001202,2009-01-16
2001203,2010-01-09
2001204,2009-07-31
2001205,2009-08-02
2001206,2009-08-02
2001207,2009-08-02
2001208,2009-05-15
2001209,2009-05-15
2001210,2009-03-14
2001211,2009-03-14
2001212,2009-03-14
2001213,2009-03-14
2001214,2010-06-26
2001215,2010-05-01
2001216,2009-05-09
2001217,2009-05-09
2001218,2009-05-09
2001219,2009-05-09
2001220,2010-09-12
2001221,2009-03-28
2001222,2009-03-28
2001223,2009-03-28
2001224,2008-06-09
2001225,2008-06-10
2001226,2009-08-22
2001227,2009-08-22
2001228,2009-06-21
2001229,2009-09-15
2001230,2009-09-15
2001231,2009-09-15
2001232,2009-11-19
2001233,2008-12-11
2001234,2008-02-18
2001235,2010-01-11
2001236,2009-12-10
2001237,2009-12-10
2001238,2009-12-10
2001239,2009-05-15
2001240,2008-05-06
2001241,2010-05-08
2001242,2009-05-10
2001243,2009-05-10
2001244,2009-03-29
2001245,2009-03-29
2001246,2009-03-29
2001247,2008-12-26
2001248,2009-01-22
2001249,2009-07-28
2001250,2010-01-11
2001251,2009-12-10
2001252,2009-05-15
2001253,2009-05-15
2001254,2009-03-15
2001255,2009-03-15
2001256,2009-03-15
2001257,2009-03-15
2001258,2010-05-08
2001259,2009-05-10
2001260,2009-05-10
2001261,2009-03-29
2001262,2009-03-29
2001263,2009-03-29
2001264,2008-06-05
2001265,2008-06-05
2001266,2008-06-05
2001267,2008-06-05
2001268,2008-06-05
2001269,2008-09-18
2001270,2008-09-18
2001271,2010-01-17
2001272,2008-02-18
2001273,2010-05-02
2001274,2009-05-15
2001275,2009-05-11
2001276,2009-05-11
2001277,2009-05-11
2001278,2009-05-11
2001279,2009-05-11
2001280,2009-09-09
2001281,2009-10-18
2001282,2010-02-20
2001283,2010-06-19
2001284,2009-03-30
2001285,2009-03-30
2001286,2009-03-30
2001287,2008-06-10
2001288,2009-08-23
2001289,2010-05-02
2001290,2009-05-16
2001291,2009-05-16
2001292,2009-05-16
2001293,2009-05-17
2001294,2009-03-16
2001295,2009-03-16
2001296,2009-03-16
2001297,2009-03-16
2001298,2009-03-30
2001299,2009-03-30
2001300,2009-03-30
2001301,2008-06-10
2001302,2008-06-10
2001303,2009-08-24
2001304,2009-08-24
2001305,2009-08-24
2001306,2009-08-24
2001307,2008-03-13
2001308,2008-03-13
2001309,2009-05-16
2001310,2009-05-16
2001311,2009-08-02
2001312,2009-08-02
2001313,2009-08-02
2001314,2009-08-02
2001315,2009-08-02
2001316,2009-08-24
2001317,2009-08-24
2001318,2009-08-24
2001319,2009-08-24
2001320,2009-08-28
2001321,2009-11-21
2001322,2009-11-21
2001323,2008-05-04
2001324,2008-05-10
2001325,2008-04-05
2001326,2008-07-05
2001327,2008-07-20
2001328,2008-10-18
2001329,2009-05-10
2001330,2009-05-10
2001331,2009-05-10
2001332,2009-05-10
2001333,2009-05-11
2001334,2009-05-11
2001335,2009-05-11
2001336,2009-06-28
2001337,2009-08-15
2001338,2009-08-15
2001339,2009-09-20
2001340,2009-10-05
2001341,2009-12-31
2001342,2010-01-05
2001343,2010-02-27
2001344,2010-04-15
2001345,2010-05-27
2001346,2008-10-19
2001347,2009-06-10
2001348,2010-01-10
2001349,2008-11-08
2001350,2010-03-06
2001351,2009-03-28
2001352,2009-03-29
2001353,2009-03-29
2001354,2009-12-13
2001355,2009-12-13
2001356,2010-01-25
2001357,2008-04-13
2001358,2008-05-11
2001359,2009-05-09
2001360,2009-05-09
2001361,2009-05-09
2001362,2009-05-09
2001363,2009-05-10
2001364,2009-08-09
2001365,2009-09-06
2001366,2009-12-06
2001367,2010-01-24
2001368,2010-04-22
2001369,2010-06-05
2001370,2009-10-25
2001371,2010-03-14
2001372,2008-05-31
2001373,2008-06-09
2001374,2008-06-09
2001375,2008-06-09
2001376,2008-06-09
2001377,2008-07-13
2001378,2008-12-07
2001379,2010-07-11
2001380,2008-03-26
2001381,2008-12-06
2001382,2008-12-06
2001383,2008-12-06
2001384,2008-12-06
2001385,2008-12-06
2001386,2009-08-17
2001387,2009-08-17
2001388,2008-12-06
2001389,2008-12-06
2001390,2008-12-06
2001391,2008-12-06
2001392,2009-04-09
2001393,2009-04-09
2001394,2009-04-09
2001395,2009-04-09
2001396,2009-08-22
2001397,2009-08-22
2001398,2010-07-27
2001399,2010-07-27
2001400,2010-07-29
2001401,2010-07-29
2001402,2010-08-01
2001403,2010-03-18
2001404,2009-06-06
2001405,2009-10-18
2001406,2009-07-29
2001407,2009-08-27
2001408,2009-08-27
2001409,2009-10-18
2001410,2010-02-20
2001411,2010-02-20
2001412,2010-08-08
2001413,2008-12-08
2001414,2008-12-08
2001415,2008-12-08
2001416,2008-12-08
2001417,2008-12-08
2001418,2008-12-08
2001419,2008-12-08
2001420,2008-12-08
2001421,2008-12-09
2001422,2008-12-09
2001423,2008-12-09
2001424,2008-12-09
2001425,2008-12-09
2001426,2008-12-09
2001427,2008-12-09
2001428,2008-12-09
2001429,2008-12-10
2001430,2008-12-10
2001431,2008-12-10
2001432,2008-12-10
2001433,2008-12-10
2001434,2008-12-10
2001435,2008-12-10
2001436,2008-12-11
2001437,2008-12-11
2001438,2008-12-11
2001439,2008-12-11
2001440,2008-12-11
2001441,2008-12-11
2001442,2008-12-11
2001443,2008-12-11
2001444,2008-12-11
2001445,2008-06-05
2001446,2008-06-05
2001447,2008-06-05
2001448,2008-06-05
2001449,2008-06-05
2001450,2010-01-17
2001451,2009-01-18
2001452,2009-01-18
2001453,2009-01-18
2001454,2009-01-18
2001455,2008-05-10
2001456,2009-12-10
2001457,2009-12-10
2001458,2009-12-10
2001459,2010-03-26
2001460,2010-03-26
2001461,2010-03-27
2001462,2010-03-27
2001463,2010-03-27
2001464,2010-03-27
2001465,2010-03-27
2001466,2010-03-26
2001467,2010-03-26
2001468,2010-03-26
2001469,2010-03-26
2001470,2010-03-26
2001471,2010-03-26
2001472,2010-03-26
2001473,2010-03-26
2001474,2010-03-28
2001475,2010-03-28
2001476,2010-03-28
2001477,2010-03-28
2001478,2010-03-29
2001479,2010-03-29
2001480,2010-03-29
2001481,2010-03-29
2001482,2010-03-29
2001483,2010-03-29
2001484,2010-03-29
2001485,2010-03-29
2001486,2009-03-16
2001487,2009-03-16
2001488,2009-03-16
2001489,2009-03-16
2001490,2010-03-27
2001491,2010-03-27
2001492,2010-03-27
2001493,2010-03-27
2001494,2010-03-27
2001495,2010-03-27
2001496,2010-03-27
2001497,2010-03-27
2001498,2010-03-27
2001499,2010-03-27
2001500,2010-03-27
2001501,2010-03-27
2001502,2010-03-27
2001503,2010-03-27
2001504,2010-03-27
2001505,2010-03-27
2001506,2010-03-27
2001507,2010-03-27
2001508,2010-03-28
2001509,2010-03-28
2001510,2010-03-28
2001511,2010-03-28
2001512,2010-03-28
2001513,2010-03-28
2001514,2010-03-28
2001515,2010-03-28
2001516,2010-03-28
2001517,2010-03-26
2001518,2010-03-26
2001519,2010-03-26
2001520,2010-03-26
2001521,2010-03-29
2001522,2010-03-29
2001523,2010-03-29
2001524,2010-03-29
2001525,2010-03-29
2001526,2010-03-29
2001527,2010-03-29
2001528,2010-03-29
2001529,2010-03-29
2001530,2010-03-26
2001531,2010-03-26
2001532,2010-03-26
2001533,2010-03-26
2001534,2010-03-28
2001535,2010-03-28
2001536,2010-03-28
2001537,2010-03-28
2001538,2010-03-28
2001539,2010-03-28
2001540,2010-03-28
2001541,2010-03-28
2001542,2010-03-27
2001543,2010-03-27
2001544,2010-03-27
2001545,2010-03-27
2001546,2010-03-28
2001547,2010-03-28
2001548,2010-03-28
2001549,2010-03-28
2001550,2010-03-28
2001551,2010-03-28
2001552,2010-03-28
2001553,2010-03-28
2001554,2010-03-28
2001555,2010-03-28
2001556,2010-03-28
2001557,2010-03-28
2001558,2010-03-26
2001559,2010-03-26
2001560,2010-03-26
2001561,2010-03-26
2001562,2008-06-08
2001563,2008-03-09
2001564,2008-03-09
2001565,2008-05-25
2001566,2008-03-12
2001567,2008-02-04
2001568,2008-02-18
2001569,2008-02-18
2001570,2008-02-18
2001571,2008-02-18
2001572,2008-03-05
2001573,2010-03-27
2001574,2010-03-27
2001575,2010-03-27
2001576,2010-03-27
2001577,2008-05-02
2001578,2008-05-14
2001579,2009-03-15
2001580,2009-03-15
2001581,2009-03-15
2001582,2009-03-15
2001583,2008-05-18
2001584,2008-10-11
2001585,2009-09-14
2001586,2008-05-19
2001587,2010-08-01
2001588,2010-08-16
2001589,2009-03-15
2001590,2008-05-08
2001591,2008-05-25
2001592,2009-02-01
2001593,2009-02-01
2001594,2010-02-13
2001595,2010-02-13
2001596,2010-02-13
2001597,2009-02-01
2001598,2009-02-01
2001599,2010-02-10
2001600,2010-02-10
2001601,2009-02-06
2001602,2010-02-09
2001603,2009-02-06
2001604,2009-02-06
2001605,2009-02-06
2001606,2009-02-06
2001607,2010-02-09
2001608,2010-02-09
2001609,2010-02-09
2001610,2009-02-04
2001611,2009-02-04
2001612,2009-02-04
2001613,2009-02-04
2001614,2010-02-08
2001615,2010-02-08
2001616,2009-02-04
2001617,2009-02-04
2001618,2010-02-08
2001619,2010-02-08
2001620,2009-02-04
2001621,2009-02-04
2001622,2009-02-04
2001623,2010-02-08
2001624,2010-02-08
2001625,2009-01-31
2001626,2009-01-31
2001627,2009-01-31
2001628,2010-02-09
2001629,2010-02-09
2001630,2009-02-01
2001631,2009-02-01
2001632,2009-02-01
2001633,2010-02-13
2001634,2010-02-13
2001635,2009-02-07
2001636,2009-02-07
2001637,2009-02-07
2001638,2009-02-07
2001639,2009-02-07
2001640,2010-02-11
2001641,2010-02-11
2001642,2009-02-02
2001643,2009-02-02
2001644,2010-02-10
2001645,2010-02-10
2001646,2010-02-10
2001647,2009-02-07
2001648,2009-02-07
2001649,2009-02-07
2001650,2009-02-07
2001651,2009-02-07
2001652,2009-02-07
2001653,2010-02-10
2001654,2010-02-10
2001655,2009-02-02
2001656,2009-02-02
2001657,2009-02-02
2001658,2010-02-10
2001659,2010-02-10
2001660,2010-02-12
2001661,2010-02-12
2001662,2010-02-12
2001663,2010-02-12
2001664,2010-02-12
2001665,2010-02-12
2001666,2010-02-11
2001667,2010-02-11
2001668,2010-02-11
2001669,2010-02-11
2001670,2009-02-05
2001671,2009-02-05
2001672,2010-02-08
2001673,2010-02-08
2001674,2010-02-08
2001675,2009-02-05
2001676,2009-02-05
2001677,2010-02-08
2001678,2010-02-14
2001679,2010-02-14
2001680,2009-02-03
2001681,2009-02-03
2001682,2010-02-12
2001683,2010-02-12
2001684,2009-02-03
2001685,2009-02-03
2001686,2010-02-12
2001687,2010-02-12
2001688,2009-01-31
2001689,2009-01-31
2001690,2010-02-09
2001691,2010-02-09
2001692,2010-02-09
2001693,2010-02-09
2001694,2009-02-02
2001695,2009-02-02
2001696,2009-02-02
2001697,2009-02-02
2001698,2009-02-02
2001699,2010-02-10
2001700,2010-02-10
2001701,2010-02-10
2001702,2010-02-11
2001703,2010-02-11
2001704,2010-02-11
2001705,2010-02-11
2001706,2010-02-14
2001707,2010-02-14
2001708,2010-02-12
2001709,2010-02-12
2001710,2010-02-12
2001711,2010-02-18
2001712,2010-02-18
2001713,2010-02-18
2001714,2010-02-18
2001715,2010-02-18
2001716,2009-02-05
2001717,2009-02-05
2001718,2010-02-14
2001719,2010-02-14
2001720,2010-02-14
2001721,2010-02-14
2001722,2010-02-14
2001723,2009-02-08
2001724,2009-02-08
2001725,2009-02-08
2001726,2009-02-08
2001727,2009-02-08
2001728,2009-02-08
2001729,2009-01-31
2001730,2009-01-31
2001731,2010-02-09
2001732,2010-02-09
2001733,2009-02-08
2001734,2009-02-08
2001735,2010-02-16
2001736,2010-02-16
2001737,2010-02-16
2001738,2010-02-16
2001739,2010-02-08
2001740,2010-02-08
2001741,2010-02-08
2001742,2010-02-08
2001743,2010-02-09
2001744,2010-02-11
2001745,2010-02-11
2001747,2010-02-12
2001748,2010-02-12
2001749,2010-02-13
2001750,2010-02-13
2001751,2010-02-13
2001752,2010-02-13
2001753,2010-02-13
2001754,2010-02-17
2001755,2010-02-17
2001756,2010-02-17
2001757,2010-02-17
2001758,2010-02-18
2001759,2010-02-18
2001760,2010-02-18
2001761,2010-02-18
2001762,2010-02-19
2001763,2010-02-19
2001764,2010-02-19
2001765,2010-02-19
2001766,2009-02-03
2001767,2009-02-03
2001768,2010-02-07
2001769,2010-02-07
2001770,2009-02-03
2001771,2009-02-03
2001772,2009-02-03
2001773,2010-02-07
2001774,2010-02-07
2001775,2009-02-06
2001776,2010-02-09
2001777,2010-02-09
2001778,2009-02-06
2001779,2009-02-06
2001780,2009-02-06
2001781,2009-02-06
2001782,2010-02-09
2001783,2010-02-09
2001784,2009-02-01
2001785,2009-02-01
2001786,2009-02-01
2001787,2009-02-01
2001788,2010-02-10
2001789,2010-02-10
2001790,2010-06-26
2001791,2008-12-10
2001792,2008-12-10
2001793,2009-12-11
2001794,2009-12-11
2001795,2009-12-11
2001796,2009-12-11
2001797,2009-12-11
2001798,2009-06-06
2001799,2009-05-09
2001800,2010-01-16
2001801,2010-05-08
2001802,2010-07-25
2001803,2009-02-01
2001804,2009-02-01
2001805,2009-02-05
2001806,2009-02-05
2001807,2009-02-05
2001808,2009-02-05
2001809,2009-02-05
2001810,2009-02-05
2001811,2009-02-06
2001812,2009-02-06
2001813,2009-02-01
2001814,2009-02-01
2001815,2009-02-02
2001816,2009-02-02
2001817,2009-02-02
2001818,2009-02-02
2001819,2009-02-02
2001820,2009-02-02
2001821,2009-02-03
2001822,2009-02-03
2001823,2009-02-03
2001824,2009-02-03
2001825,2009-02-03
2001826,2009-02-03
2001827,2009-02-04
2001828,2009-02-04
2001829,2009-02-04
2001830,2009-02-04
2001831,2009-02-04
2001832,2009-02-04
2001833,2009-02-04
2001834,2010-01-09
2001835,2010-01-09
2001836,2010-04-24
2001837,2010-04-24
2001838,2008-02-18
2001839,2008-02-18
2001840,2008-02-18
2001841,2008-02-18
2001842,2010-03-27
2001843,2010-03-27
2001844,2010-03-27
2001845,2010-03-27
2001846,2008-02-19
2001847,2008-02-19
2001848,2008-02-19
2001849,2008-02-19
2001850,2008-02-19
2001851,2008-02-19
2001852,2008-02-19
2001853,2008-02-19
2001854,2008-02-20
2001855,2008-02-20
2001856,2008-02-20
2001857,2008-02-20
2001858,2008-02-20
2001859,2008-02-21
2001860,2008-02-21
2001861,2008-02-21
2001862,2008-02-21
2001863,2008-02-21
2001864,2008-02-21
2001865,2008-02-21
2001866,2008-02-21
2001867,2008-02-21
2001868,2008-02-21
2001869,2008-02-21
2001870,2008-02-21
2001871,2008-02-21
2001872,2008-02-21
2001873,2008-02-22
2001874,2008-02-22
2001875,2008-02-22
2001876,2008-02-22
2001877,2008-02-22
2001878,2008-02-22
2001879,2008-02-22
2001880,2008-02-22
2001881,2009-08-06
2001882,2009-11-15
2001883,2010-04-18
2001884,2010-04-18
2001885,2010-04-26
2001886,2009-05-16
2001887,2010-04-18
2001888,2010-04-18
2001889,2009-06-27
2001890,2009-09-26
2001891,2009-11-28
2001892,2010-08-08
2001893,2009-06-08
2001894,2009-08-26
2001895,2009-08-25
2001896,2009-08-26
2001897,2009-06-27
2001898,2010-08-01
2001899,2009-08-26
2001900,2010-05-08
2001901,2010-02-27
2001902,2008-02-11
2001903,2008-02-25
2001904,2010-04-11
2001905,2010-04-24
2001906,2010-04-24
2001907,2009-06-07
2001908,2009-06-07
2001909,2010-02-21
2001910,2010-02-21
2001911,2010-02-24
2001912,2010-02-24
2001913,2010-02-24
2001914,2010-02-24
2001915,2010-02-24
2001916,2010-02-24
2001917,2010-02-21
2001918,2010-02-21
2001919,2010-02-21
2001920,2010-02-21
2001921,2010-02-21
2001922,2010-02-21
2001923,2010-02-22
2001924,2010-02-22
2001925,2010-02-22
2001926,2010-02-22
2001927,2010-02-22
2001928,2010-02-22
2001929,2010-02-22
2001930,2010-02-23
2001931,2010-02-23
2001932,2010-02-23
2001933,2010-02-23
2001934,2009-05-08
2001935,2009-05-10
2001936,2009-05-11
2001937,2009-05-11
2001938,2009-05-11
2001939,2009-08-29
2001940,2009-11-29
2001941,2010-01-01
2001942,2010-01-31
2001943,2010-04-04
2001944,2010-06-13
2001945,2010-03-20
2001946,2010-04-08
2001947,2010-09-11
2001948,2010-05-13
2001949,2010-06-12
2001950,2009-06-06
2001951,2009-06-14
2001952,2009-09-09
2001953,2009-09-27
2001954,2010-02-14
2001955,2009-06-08
2001956,2010-04-11
2001957,2010-04-11
2001958,2009-08-01
2001959,2009-08-03
2001960,2009-10-21
2001961,2009-10-21
2001962,2009-12-05
2001963,2010-01-17
2001964,2010-01-31
2001965,2010-05-02
2001966,2010-01-02
2001967,2010-03-21
2001968,2010-01-06
2002379,2010-10-15
2002380,2010-10-15
